iter	Logloss
0	0.6757100786
1	0.6611755578
2	0.6482952855
3	0.6371989412
4	0.6277440762
5	0.6190959783
6	0.6108539296
7	0.6037489441
8	0.5973401803
9	0.5922006122
10	0.5877906458
11	0.582571424
12	0.5789907375
13	0.5750231939
14	0.5714924972
15	0.5685434724
16	0.5656994613
17	0.5633186504
18	0.5608791828
19	0.5589187568
20	0.55684959
21	0.555259432
22	0.5528364145
23	0.5506984473
24	0.549034151
25	0.5477138774
26	0.5465699067
27	0.5455128183
28	0.5446149226
29	0.5434351196
30	0.5423216261
31	0.5413501484
32	0.5401873666
33	0.5394314987
34	0.5387330922
35	0.5378699709
36	0.5368949195
37	0.5364009548
38	0.5357564651
39	0.535173697
40	0.5344580559
41	0.5339460494
42	0.5333507659
43	0.5329011445
44	0.5322883479
45	0.5317936514
46	0.5313110618
47	0.5309120965
48	0.5304973088
49	0.530203139
50	0.5298153557
51	0.5294575959
52	0.529106744
53	0.5288653746
54	0.5285114852
55	0.5282642111
56	0.5278839786
57	0.5275926701
58	0.5272840851
59	0.5269653919
60	0.5266547228
61	0.5264560261
62	0.5262165483
63	0.5259562916
64	0.5257600747
65	0.5255608103
66	0.5252572291
67	0.5250817817
68	0.5248097215
69	0.5246294992
70	0.5244101994
71	0.5242815729
72	0.5241306224
73	0.5238518345
74	0.5237129547
75	0.5235939868
76	0.5234281668
77	0.523311508
78	0.523109464
79	0.5230036018
80	0.5228800016
81	0.522739099
82	0.5226175259
83	0.5224863274
84	0.5223350004
85	0.5222630565
86	0.5220724255
87	0.521944747
88	0.5218418862
89	0.5217571846
90	0.5216152529
91	0.5215355547
92	0.5214664498
93	0.5213926322
94	0.521286662
95	0.5211697536
96	0.5211093927
97	0.5210545853
98	0.5209666851
99	0.5208139765
100	0.5207176758
101	0.5205438391
102	0.5204651946
103	0.5203631504
104	0.5202951931
105	0.520242663
106	0.5201745793
107	0.5200317329
108	0.5199840785
109	0.5198947425
110	0.5197937978
111	0.5197047974
112	0.5195936986
113	0.5194899649
114	0.5194118949
115	0.5193267613
116	0.5192404905
117	0.5191815664
118	0.5191271762
119	0.5190571711
120	0.519001249
121	0.5189268009
122	0.5188717105
123	0.5187719532
124	0.5186744159
125	0.5185615276
126	0.5185127509
127	0.5184387799
128	0.5182904673
129	0.518230933
130	0.51813963
131	0.5180706488
132	0.51800772
133	0.5179420162
134	0.517868683
135	0.5178148258
136	0.5177203543
137	0.5176756807
138	0.5176371306
139	0.5176152504
140	0.5175203849
141	0.5174378895
142	0.5174013572
143	0.5173560012
144	0.5173033271
145	0.5172346377
146	0.5171638151
147	0.5171200354
148	0.5170602422
149	0.5170473966
150	0.5170086075
151	0.5169412399
152	0.5169053955
153	0.5168619698
154	0.5168397464
155	0.516766842
156	0.5166882644
157	0.5166095262
158	0.5166047755
159	0.516572221
160	0.5165200491
161	0.5165061503
162	0.5164775962
163	0.5164171397
164	0.5163872585
165	0.516326173
166	0.5162872684
167	0.5162068947
168	0.5161175938
169	0.5160760747
170	0.5159847109
171	0.5159462644
172	0.5159035991
173	0.5158529514
174	0.5157691823
175	0.5157043187
176	0.5156278874
177	0.5155773895
178	0.5155339299
179	0.5154696762
180	0.5154309186
181	0.515376974
182	0.5152974863
183	0.5152419136
184	0.5151667898
185	0.515091076
186	0.5150351801
187	0.5149904207
188	0.5149197251
189	0.5148683907
190	0.514825864
191	0.5147659223
192	0.5147284271
193	0.5146758172
194	0.5146201982
195	0.5145205491
196	0.5144435589
197	0.5143181528
198	0.5142559064
199	0.5141917064
200	0.5141347793
201	0.5140831644
202	0.5140072982
203	0.5139237506
204	0.5138656486
205	0.5138210041
206	0.5137795855
207	0.5137122477
208	0.5136354376
209	0.513555953
210	0.5134650474
211	0.5133997724
212	0.5133479755
213	0.5132597435
214	0.513205121
215	0.5131494622
216	0.5130877261
217	0.5130439409
218	0.5129974338
219	0.5129235946
220	0.5128545811
221	0.5127630576
222	0.5126993836
223	0.5126465229
224	0.5125509102
225	0.5125154692
226	0.5124774126
227	0.5124089635
228	0.5123524864
229	0.5122968174
230	0.5122397588
231	0.5121910015
232	0.5121065705
233	0.5120366068
234	0.511981996
235	0.5119146382
236	0.5118388369
237	0.5117851036
238	0.5117012048
239	0.511648848
240	0.5115831268
241	0.5115538219
242	0.5114841258
243	0.5114392299
244	0.5113956591
245	0.5113151962
246	0.5112384149
247	0.5111551587
248	0.5111006007
249	0.5110434585
250	0.5109949412
251	0.5109362065
252	0.5108321182
253	0.5107870415
254	0.5107255581
255	0.510684806
256	0.5105978595
257	0.5105310374
258	0.5104524253
259	0.510387925
260	0.5103324941
261	0.5102462458
262	0.5101774529
263	0.5101233269
264	0.5100514501
265	0.5099813296
266	0.5099207792
267	0.5098736549
268	0.509804808
269	0.5097257798
270	0.5096477362
271	0.5095802471
272	0.5095186089
273	0.5094409113
274	0.5093688197
275	0.5092807088
276	0.5092141868
277	0.5091416817
278	0.5090714452
279	0.5090175637
280	0.508923634
281	0.5088750158
282	0.5087751206
283	0.5087272848
284	0.5086832616
285	0.5086189534
286	0.5085244173
287	0.508457822
288	0.5084092396
289	0.508347324
290	0.5083002332
291	0.5082381615
292	0.5081531518
293	0.5080809089
294	0.5080242416
295	0.5079701807
296	0.5078817895
297	0.5078081272
298	0.5077452915
299	0.5076687497
300	0.507596362
301	0.5075489619
302	0.5074866553
303	0.5074362157
304	0.5073622851
305	0.5072712332
306	0.5071785718
307	0.5071348132
308	0.5070799502
309	0.5070131613
310	0.5069569158
311	0.5069096559
312	0.5068628972
313	0.5067996737
314	0.5067565185
315	0.5066943183
316	0.5066297051
317	0.5065684844
318	0.5065151846
319	0.506455758
320	0.5063980415
321	0.5063496195
322	0.5062917873
323	0.5062204241
324	0.5061634072
325	0.5061028714
326	0.5060167767
327	0.5059750751
328	0.5059135882
329	0.5058551099
330	0.5057844589
331	0.5057423863
332	0.5056807049
333	0.5056367968
334	0.5055664037
335	0.5054997147
336	0.5054349012
337	0.505381278
338	0.505329184
339	0.5052964879
340	0.5052193189
341	0.5051608964
342	0.5051015864
343	0.5050571151
344	0.5050017089
345	0.5049504551
346	0.5049084752
347	0.5048389026
348	0.5047743255
349	0.5047082528
350	0.504627618
351	0.5045724518
352	0.5045158218
353	0.5044473925
354	0.5043739831
355	0.5042994927
356	0.5042320778
357	0.5041595345
358	0.5040777814
359	0.5040288792
360	0.5039737166
361	0.5039236515
362	0.5038792769
363	0.5038124917
364	0.5037513275
365	0.5036912733
366	0.5036313862
367	0.5035638699
368	0.5035274233
369	0.5034735759
370	0.5033894402
371	0.5033181752
372	0.5032690405
373	0.5031965799
374	0.5031406188
375	0.5030743975
376	0.5030132779
377	0.502955486
378	0.5028523184
379	0.5028050061
380	0.5027546939
381	0.5026922039
382	0.5026595204
383	0.5026038427
384	0.5025565068
385	0.5025106809
386	0.5024521946
387	0.5024113659
388	0.5023466418
389	0.5023098864
390	0.5022540688
391	0.5022013682
392	0.5021103084
393	0.5020743554
394	0.502006389
395	0.5019433112
396	0.5018905993
397	0.501848252
398	0.5018100237
399	0.5017416109
400	0.5016859181
401	0.5016420473
402	0.501588809
403	0.5015169342
404	0.5014448245
405	0.5013837413
406	0.501332398
407	0.5012993022
408	0.5012411055
409	0.5011593588
410	0.5011238087
411	0.5010740754
412	0.5010334319
413	0.5009745775
414	0.5009224526
415	0.5008811989
416	0.50083704
417	0.5007884841
418	0.5007307463
419	0.5006803427
420	0.5006320254
421	0.5005769339
422	0.5005272203
423	0.500474227
424	0.5004343666
425	0.5003954925
426	0.5003392272
427	0.5002664524
428	0.5001724409
429	0.5001177071
430	0.5000673272
431	0.5000051364
432	0.4999604809
433	0.4998894951
434	0.4998475811
435	0.4998143108
436	0.4997533587
437	0.4996928923
438	0.499644653
439	0.4995773819
440	0.4995135664
441	0.4994787649
442	0.4994356171
443	0.4993880286
444	0.4993333
445	0.4992715434
446	0.4992288337
447	0.4991959974
448	0.4991282869
449	0.499092205
450	0.499035458
451	0.4989680963
452	0.4988987338
453	0.4988481815
454	0.4987793956
455	0.498726623
456	0.498678857
457	0.4986223827
458	0.4985739815
459	0.4985140707
460	0.4984673366
461	0.4984327816
462	0.4983835648
463	0.4982989371
464	0.4982450643
465	0.4981688327
466	0.4981239779
467	0.4980549446
468	0.4979873032
469	0.497905492
470	0.4978630793
471	0.4978184413
472	0.4977700039
473	0.4977156225
474	0.4976741644
475	0.4976115578
476	0.4975673543
477	0.4975317472
478	0.4974889411
479	0.4974189603
480	0.4973876274
481	0.4973445925
482	0.4972974145
483	0.4972248157
484	0.4971646318
485	0.4971027888
486	0.497066625
487	0.4970285506
488	0.4969724729
489	0.4969231571
490	0.4968594042
491	0.4967995492
492	0.4967419089
